Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE 3.4,SSP1,NAF,Emissions|CO2,Mt CO2/yr,466.2130077,517.2192638,691.8204295,802.032364,858.5947368,778.5488231,624.7545472,559.9230958,514.8579407,440.1994578
IMAGE 3.4,SSP1,OCE,Emissions|CO2,Mt CO2/yr,307.599378,266.3755341,325.5930456,218.59655,98.39940263,29.76620293,23.68786272,49.78215027,85.7653103,126.1564318
IMAGE 3.4,SSP1,RCAM,Emissions|CO2,Mt CO2/yr,276.2593537,192.3657227,234.818456,233.5009995,157.4546623,121.1813164,117.7119115,108.9024925,95.55685616,100.5029272
IMAGE 3.4,SSP1,RSAF,Emissions|CO2,Mt CO2/yr,221.2926852,274.6876374,325.3794887,588.0039012,766.342509,360.5561804,402.9860866,688.2982229,596.1380311,538.1970215
IMAGE 3.4,SSP1,RSAM,Emissions|CO2,Mt CO2/yr,1151.213827,933.195984,788.9115652,706.5736492,619.9233602,577.9873149,509.0059103,429.6332296,338.0463461,232.0350266
IMAGE 3.4,SSP1,RSAS,Emissions|CO2,Mt CO2/yr,240.8337174,343.4198176,571.5831248,824.1863913,808.4028168,731.3067526,710.0320181,778.4399466,984.5685934,1188.192464
IMAGE 3.4,SSP1,RUS,Emissions|CO2,Mt CO2/yr,1979.169047,2059.584615,1735.432282,1323.363088,987.8059083,728.0610454,533.8578492,473.7490998,386.0570984,344.483546
IMAGE 3.4,SSP1,SAF,Emissions|CO2,Mt CO2/yr,459.7244746,415.4861323,394.5439581,368.7782898,296.3985494,209.1440964,169.90006,154.2052206,134.7251028,112.1548996
IMAGE 3.4,SSP1,SEAS,Emissions|CO2,Mt CO2/yr,1353.642741,1713.746826,1811.23173,1770.163229,1328.905609,979.1840719,796.9562328,678.0528056,600.0444947,433.3387528
IMAGE 3.4,SSP1,STAN,Emissions|CO2,Mt CO2/yr,394.6814804,387.9633891,526.6352946,370.1129787,327.9609426,318.5824534,235.7334722,210.7310728,186.5536957,191.2194837
IMAGE 3.4,SSP1,TUR,Emissions|CO2,Mt CO2/yr,290.4979274,372.2157898,501.0631816,430.3977433,349.0056992,258.3392029,211.4857114,186.6958199,157.3617452,135.9445229
IMAGE 3.4,SSP1,UKR,Emissions|CO2,Mt CO2/yr,401.4853414,315.4997254,266.870402,315.1706899,267.7410507,184.1419068,152.8593699,129.061718,126.1460254,120.4791158
IMAGE 3.4,SSP1,USA,Emissions|CO2,Mt CO2/yr,5563.928549,4626.112305,4519.305868,3528.853801,1950.062419,1128.568848,839.9508312,777.0231527,667.1653748,783.844218
IMAGE 3.4,SSP1,WAF,Emissions|CO2,Mt CO2/yr,644.7298127,947.465973,681.4914246,879.4621074,1245.102783,814.4498851,739.9971263,725.5629273,789.5323182,870.0809327
IMAGE 3.4,SSP1,WEU,Emissions|CO2,Mt CO2/yr,3442.060506,2430.643494,2463.192546,2015.701213,2041.41331,1645.969554,1218.209717,1350.167531,1277.499319,1104.873372
IMAGE 3.4,SSP1,World,Emissions|CO2,Mt CO2/yr,37992.90072,37254.46843,39537.96029,33370.47657,26099.8973,20742.24561,17436.28727,16343.41113,14949.64185,13631.70972
IMAGE 3.4,SSP2,BRA,Emissions|CO2,Mt CO2/yr,2039.177145,513.7751618,1377.860331,1333.016622,1621.670949,1927.54657,2035.796489,1787.579559,1478.234212,1008.215281
IMAGE 3.4,SSP2,CAN,Emissions|CO2,Mt CO2/yr,658.2106426,639.9569245,623.8749187,432.8921687,372.2007676,395.9768931,409.1886368,423.1058401,430.680425,431.7749253
IMAGE 3.4,SSP2,CEU,Emissions|CO2,Mt CO2/yr,759.2115428,706.5637462,651.5446676,318.8966344,227.4724083,208.6691183,194.9611079,174.2112859,165.5046031,147.6248055
IMAGE 3.4,SSP2,CHN,Emissions|CO2,Mt CO2/yr,9428.964926,11400.01131,11852.86703,10608.89486,7967.252198,5607.081259,4331.704753,3702.376384,3496.594564,3114.982829
IMAGE 3.4,SSP2,EAF,Emissions|CO2,Mt CO2/yr,671.7582754,214.2267596,386.1663666,696.3032787,850.0543061,926.7969412,1157.182455,1318.292776,1485.321147,1721.920176
IMAGE 3.4,SSP2,INDIA,Emissions|CO2,Mt CO2/yr,1770.555206,2231.645813,3705.236267,4486.643352,5061.041545,5769.235922,6595.05009,7217.932252,7306.199911,7214.104452
IMAGE 3.4,SSP2,INDO,Emissions|CO2,Mt CO2/yr,1394.141124,1519.781972,1555.68751,1176.048869,1046.032145,1115.005829,1181.917348,1175.190165,1138.156474,1023.010295
IMAGE 3.4,SSP2,JAP,Emissions|CO2,Mt CO2/yr,1135.651418,921.5022736,776.5974376,556.0602723,471.1296285,358.6080679,276.8165767,293.8141861,317.338206,272.522611
IMAGE 3.4,SSP2,KOR,Emissions|CO2,Mt CO2/yr,669.8134919,680.489324,588.3999075,354.2854284,237.2153066,168.0603485,136.5391897,133.6182798,134.0157827,131.2477811
IMAGE 3.4,SSP2,ME,Emissions|CO2,Mt CO2/yr,1775.255137,2231.538168,2416.707967,2691.881409,2891.572856,3074.460836,3128.290833,3011.048808,2775.689046,2534.467855
IMAGE 3.4,SSP2,MEX,Emissions|CO2,Mt CO2/yr,500.6466421,404.482104,521.0194245,561.6845907,564.8162741,542.1705679,494.8690796,467.4086914,450.5772222,434.3742269
IMAGE 3.4,SSP2,NAF,Emissions|CO2,Mt CO2/yr,466.207133,517.227712,729.978358,975.9298605,1265.101156,1521.944285,1715.309255,1704.54715,1588.344991,1472.127838
IMAGE 3.4,SSP2,OCE,Emissions|CO2,Mt CO2/yr,307.599378,266.3755341,383.0606995,316.4833069,273.1450424,240.8489355,207.0243607,192.8012149,196.2673887,209.698466
IMAGE 3.4,SSP2,RCAM,Emissions|CO2,Mt CO2/yr,276.3007838,192.4083697,263.2998835,321.7827022,367.2525915,389.1528626,417.4026897,466.8821564,509.8665162,535.3498383
IMAGE 3.4,SSP2,RSAF,Emissions|CO2,Mt CO2/yr,221.2881673,274.6850078,352.1622238,470.1187439,606.3299052,792.3750815,1013.483877,1230.792959,1457.118317,1746.339854
IMAGE 3.4,SSP2,RSAM,Emissions|CO2,Mt CO2/yr,1151.211924,933.1164246,1049.063792,1260.133565,1317.492706,1156.828522,1306.210724,1433.674052,1288.103648,1213.911947
IMAGE 3.4,SSP2,RSAS,Emissions|CO2,Mt CO2/yr,240.8337174,343.4200135,601.4019267,991.0390829,1358.450877,1810.443746,2198.472819,2646.719239,2976.569296,3469.354167
IMAGE 3.4,SSP2,RUS,Emissions|CO2,Mt CO2/yr,1979.167704,2059.600505,1893.193054,1758.400645,1706.623973,1621.358531,1500.156891,1431.315582,1346.295868,1171.720327
IMAGE 3.4,SSP2,SAF,Emissions|CO2,Mt CO2/yr,459.7244746,415.4769567,381.6362127,401.4281337,476.4246877,469.2207642,404.5612997,383.5087662,328.2212728,268.3912049
IMAGE 3.4,SSP2,SEAS,Emissions|CO2,Mt CO2/yr,1353.637594,1714.467672,1971.391703,2302.25354,2460.551758,2432.176941,2425.307088,2608.656311,2687.225118,2536.548706
IMAGE 3.4,SSP2,STAN,Emissions|CO2,Mt CO2/yr,394.6796341,387.9685364,602.1282553,567.274053,575.3858033,555.9792583,537.1622468,540.2019501,551.847992,559.9003805
IMAGE 3.4,SSP2,TUR,Emissions|CO2,Mt CO2/yr,290.5842845,372.1831716,552.4309795,565.9621074,524.3520203,465.895106,419.2749075,403.6890005,397.3650971,371.0054194
IMAGE 3.4,SSP2,UKR,Emissions|CO2,Mt CO2/yr,401.4853414,315.4993897,295.423556,380.1816254,381.5914536,315.8594768,275.5699234,250.2464752,229.2288539,202.8617071
IMAGE 3.4,SSP2,USA,Emissions|CO2,Mt CO2/yr,5563.92452,4626.291789,4152.540284,3017.834514,2576.663839,2429.401652,2335.191549,2140.212342,2009.539673,2041.805624
IMAGE 3.4,SSP2,WAF,Emissions|CO2,Mt CO2/yr,644.7151541,947.4223328,1016.924286,1459.84258,1673.089773,2036.46049,2453.567546,2885.573792,3388.286682,3893.43514
IMAGE 3.4,SSP2,WEU,Emissions|CO2,Mt CO2/yr,3442.173971,2430.169942,2208.723775,1166.3461,1013.4098,1166.621816,1168.674133,1085.559255,1112.908081,1160.563782
IMAGE 3.4,SSP2,World,Emissions|CO2,Mt CO2/yr,37996.93262,37260.30144,40909.32943,39171.62305,37886.30957,37498.19434,38319.67448,39108.96029,39245.50782,38887.27377
IMAGE 3.4,SSP3,BRA,Emissions|CO2,Mt CO2/yr,2039.122538,513.6670126,1746.298788,2530.863404,3558.23816,2870.270427,2634.758037,2529.136821,2089.730103,1975.967875
IMAGE 3.4,SSP3,CAN,Emissions|CO2,Mt CO2/yr,658.2110342,640.1658936,685.1243541,672.4974722,668.7365876,713.8574677,757.3247224,837.7233379,887.9830679,861.6593374
IMAGE 3.4,SSP3,CEU,Emissions|CO2,Mt CO2/yr,759.1902823,706.4951529,843.9889425,847.4715373,827.6784974,765.7125804,698.8179017,674.8657888,647.488261,577.3027243
IMAGE 3.4,SSP3,CHN,Emissions|CO2,Mt CO2/yr,9428.964926,11400.05518,12348.3728,11619.93791,9360.226563,6940.648194,5671.471721,4776.079061,4412.976115,4089.51766
IMAGE 3.4,SSP3,EAF,Emissions|CO2,Mt CO2/yr,671.7597301,214.2268016,463.7031683,761.4361268,941.4632162,1003.238851,1072.700969,1133.039276,1290.282074,1525.91565
IMAGE 3.4,SSP3,INDIA,Emissions|CO2,Mt CO2/yr,1766.739716,2226.421306,3910.804362,4793.484538,5046.231649,5521.846029,6051.954183,6556.986491,6528.500001,5949.947714
IMAGE 3.4,SSP3,INDO,Emissions|CO2,Mt CO2/yr,1394.196065,1519.767649,1748.744426,2014.38149,2145.654826,2313.080099,2373.042542,2393.14386,2322.230876,2280.147909
IMAGE 3.4,SSP3,JAP,Emissions|CO2,Mt CO2/yr,1135.648397,921.4795584,884.4392091,742.6364035,644.1336213,574.0705567,519.4757386,519.0965729,503.3416443,434.5623271
IMAGE 3.4,SSP3,KOR,Emissions|CO2,Mt CO2/yr,669.8134919,680.4963176,702.5194245,682.8305054,559.9678549,459.1179886,393.4846777,338.7950262,296.1858877,268.974528
IMAGE 3.4,SSP3,ME,Emissions|CO2,Mt CO2/yr,1775.274272,2231.242534,2577.729106,2869.572856,3091.493246,3249.084717,3439.181824,3558.132976,3624.912903,3702.046285
IMAGE 3.4,SSP3,MEX,Emissions|CO2,Mt CO2/yr,500.6569367,404.4586335,586.9464112,733.506775,768.1919556,766.6691946,727.8428447,695.2993877,679.5319825,684.0588074
IMAGE 3.4,SSP3,NAF,Emissions|CO2,Mt CO2/yr,466.2130077,517.2192638,736.399053,967.0521139,1178.673432,1301.48405,1445.975311,1531.280253,1586.521169,1623.931061
IMAGE 3.4,SSP3,OCE,Emissions|CO2,Mt CO2/yr,307.599378,266.3755341,400.7167995,489.5403392,529.8234304,454.7304764,334.1968384,309.7164002,322.407959,293.4762828
IMAGE 3.4,SSP3,RCAM,Emissions|CO2,Mt CO2/yr,276.2593537,192.3657227,312.6185812,426.3093898,448.7596665,452.6551361,443.3744456,451.5148138,435.0268987,436.034874
IMAGE 3.4,SSP3,RSAF,Emissions|CO2,Mt CO2/yr,221.2926852,274.6876374,375.3299052,526.7713064,685.8573406,861.9786937,1021.890086,1125.98054,1203.233877,1306.762268
IMAGE 3.4,SSP3,RSAM,Emissions|CO2,Mt CO2/yr,1151.213827,933.195984,1329.962372,2367.924561,3142.05538,2146.199321,1891.587097,1790.927653,1769.909221,1611.139242
IMAGE 3.4,SSP3,RSAS,Emissions|CO2,Mt CO2/yr,240.8337174,343.4198176,613.2173819,1014.576559,1345.222321,1679.890249,1933.526164,2013.346436,2077.769572,2222.771424
IMAGE 3.4,SSP3,RUS,Emissions|CO2,Mt CO2/yr,1979.169047,2059.584615,1958.958517,2074.572876,2168.12972,2135.001262,2108.162578,2157.857951,2175.651489,2167.436625
IMAGE 3.4,SSP3,SAF,Emissions|CO2,Mt CO2/yr,459.7244746,415.4861323,416.481631,434.1831894,474.8014425,479.5483145,470.1084493,437.5748673,381.3237941,342.001709
IMAGE 3.4,SSP3,SEAS,Emissions|CO2,Mt CO2/yr,1353.642741,1713.746826,2129.475749,2577.621236,2631.949402,2486.471537,2387.886678,2313.428996,2227.972209,2113.501445
IMAGE 3.4,SSP3,STAN,Emissions|CO2,Mt CO2/yr,394.6814804,387.9633891,649.5133312,666.1768698,762.1324108,820.9344178,782.7827556,797.5509695,767.2356772,771.5697022
IMAGE 3.4,SSP3,TUR,Emissions|CO2,Mt CO2/yr,290.4979274,372.2157898,551.5971731,636.1571554,629.5992737,660.8576406,655.43278,641.5698751,659.713262,701.2859193
IMAGE 3.4,SSP3,UKR,Emissions|CO2,Mt CO2/yr,401.4853414,315.4997254,302.1635793,346.2409846,381.792394,353.3003362,291.6229477,264.3715566,262.7612076,244.0326513
IMAGE 3.4,SSP3,USA,Emissions|CO2,Mt CO2/yr,5563.928549,4626.112305,5078.362875,5148.707642,4744.347535,4324.93986,3893.068563,3798.516276,3656.01176,3594.414938
IMAGE 3.4,SSP3,WAF,Emissions|CO2,Mt CO2/yr,644.7298127,947.465973,1007.11085,1682.674378,2159.251302,2364.744873,2547.482239,2849.264079,3135.990072,3473.449178
IMAGE 3.4,SSP3,WEU,Emissions|CO2,Mt CO2/yr,3442.060506,2430.643494,2708.64034,2765.956177,2993.93628,2885.307251,2750.109212,3016.534485,3334.871826,3117.978557
IMAGE 3.4,SSP3,World,Emissions|CO2,Mt CO2/yr,37992.90072,37254.46843,45069.23796,50393.09115,51888.3571,48585.64291,47297.25,47511.75,47279.57553,46369.87696
IMAGE 3.4,SSP5,BRA,Emissions|CO2,Mt CO2/yr,1607.649262,492.268687,1277.208944,1705.539683,2447.660909,2314.504558,1594.233612,1400.929179,1173.940491,945.1687114
IMAGE 3.4,SSP5,CAN,Emissions|CO2,Mt CO2/yr,657.9066722,637.1918742,690.1649577,640.3331249,575.613851,627.9027354,740.1001842,839.4492493,911.9638266,846.1196442
IMAGE 3.4,SSP5,CEU,Emissions|CO2,Mt CO2/yr,758.8999075,706.3107453,844.1634471,936.5553793,1076.706014,1053.847646,996.5648194,860.4830679,649.1283468,492.1872813
IMAGE 3.4,SSP5,CHN,Emissions|CO2,Mt CO2/yr,9464.293295,11449.03508,12056.83968,11313.4821,8788.666098,6006.652588,4900.771241,4195.084717,4046.492961,3864.696208
IMAGE 3.4,SSP5,EAF,Emissions|CO2,Mt CO2/yr,672.3819937,221.9721146,364.1206843,680.8662517,955.0680848,1087.483449,1298.288585,1513.975484,1647.121653,1868.059916
IMAGE 3.4,SSP5,INDIA,Emissions|CO2,Mt CO2/yr,1760.204214,2233.865641,3814.649699,5336.584026,6733.264893,7407.499187,7920.355388,8305.839682,8410.002198,8139.963298
IMAGE 3.4,SSP5,INDO,Emissions|CO2,Mt CO2/yr,1363.794668,1497.322968,1728.944112,1994.251302,2414.742371,2643.446004,2699.30717,2638.746745,2505.784648,2310.364787
IMAGE 3.4,SSP5,JAP,Emissions|CO2,Mt CO2/yr,1135.648397,921.4795584,874.201177,772.1860912,779.7397513,826.4505311,853.5644278,815.163793,712.9499767,601.9573873
IMAGE 3.4,SSP5,KOR,Emissions|CO2,Mt CO2/yr,670.258957,680.0449219,670.2310944,652.8885041,594.4311982,512.2930756,430.8674342,384.3352433,384.6351573,347.0016098
IMAGE 3.4,SSP5,ME,Emissions|CO2,Mt CO2/yr,1775.492025,2230.006958,2530.419169,2903.745545,3225.359477,3451.670512,3415.299032,3186.467163,2881.231486,2594.091024
IMAGE 3.4,SSP5,MEX,Emissions|CO2,Mt CO2/yr,502.0682475,403.4942983,573.7918753,675.4780935,722.3641612,713.1373495,657.1227723,605.481776,522.4556326,452.7460531
IMAGE 3.4,SSP5,NAF,Emissions|CO2,Mt CO2/yr,466.2500458,518.0809327,737.6024577,1125.862152,1610.726003,1805.168884,1862.733022,1799.837626,1625.851339,1372.86969
IMAGE 3.4,SSP5,OCE,Emissions|CO2,Mt CO2/yr,314.3504232,272.5689926,375.6221263,469.5247345,502.8525391,449.6679128,384.4151663,362.8279852,386.8560766,405.5545884
IMAGE 3.4,SSP5,RCAM,Emissions|CO2,Mt CO2/yr,288.9318339,228.0910492,266.1850001,348.4975713,428.8907319,455.2295126,461.6579005,439.773407,414.576795,393.7791087
IMAGE 3.4,SSP5,RSAF,Emissions|CO2,Mt CO2/yr,225.5401434,272.6457545,334.9633942,544.6595103,801.7625225,1095.607341,1380.447968,1571.913585,1624.453624,1580.36377
IMAGE 3.4,SSP5,RSAM,Emissions|CO2,Mt CO2/yr,1271.492533,944.8574118,1167.49999,1660.927378,1782.494588,1576.756856,1650.851766,1613.879283,1445.973521,1294.864624
IMAGE 3.4,SSP5,RSAS,Emissions|CO2,Mt CO2/yr,237.6562119,345.8304037,609.3435364,1222.958323,1986.637105,2295.176453,2495.872966,2542.828634,2835.374207,3498.414246
IMAGE 3.4,SSP5,RUS,Emissions|CO2,Mt CO2/yr,1977.329671,2059.634074,1915.875183,1914.320028,1948.606629,1928.967224,1833.000773,1785.220083,1668.61789,1433.356822
IMAGE 3.4,SSP5,SAF,Emissions|CO2,Mt CO2/yr,455.6225535,415.6155701,414.6886368,483.3091991,621.5293173,611.347346,494.8734996,441.0046743,331.3110504,274.2284928
IMAGE 3.4,SSP5,SEAS,Emissions|CO2,Mt CO2/yr,1350.717845,1702.23758,1971.372009,2483.163839,2825.757263,2777.186463,2561.126384,2462.976359,2442.772543,2378.223409
IMAGE 3.4,SSP5,STAN,Emissions|CO2,Mt CO2/yr,405.4321442,397.1865362,606.7273662,610.4002432,603.9087728,551.3262126,523.2281749,510.7025045,490.1006114,474.310491
IMAGE 3.4,SSP5,TUR,Emissions|CO2,Mt CO2/yr,290.986641,373.8592046,539.4051819,602.9254151,606.2418976,584.3291779,558.107722,524.5467225,512.6876272,513.4503225
IMAGE 3.4,SSP5,UKR,Emissions|CO2,Mt CO2/yr,401.803243,315.6348419,309.1566595,478.4306794,518.5880534,414.9397914,343.8784307,293.1255392,273.4658534,247.9440104
IMAGE 3.4,SSP5,USA,Emissions|CO2,Mt CO2/yr,5568.694947,4625.192058,4945.732219,4920.629965,4339.22876,3773.858033,3326.800415,3168.878846,3003.928752,3031.791077
IMAGE 3.4,SSP5,WAF,Emissions|CO2,Mt CO2/yr,647.4057363,964.0708212,898.4140117,1358.35375,1801.538249,2265.820069,2768.223226,3311.76001,3578.128439,3696.828715
IMAGE 3.4,SSP5,WEU,Emissions|CO2,Mt CO2/yr,3441.579794,2430.163005,2656.089783,2944.812256,3632.435791,4129.436524,4107.850993,4350.430176,4138.166789,4076.687907
IMAGE 3.4,SSP5,World,Emissions|CO2,Mt CO2/yr,37712.40072,37338.65495,43173.42448,48780.67448,52324.80144,51359.69825,50259.55144,49925.66276,48617.98405,47135.03581
IMAGE 3.4,SSP1,BRA,GDP|MER,billion US$2010/yr,1571.817703,1614.227529,2020.017062,2856.253311,4323.480419,6202.82447,8320.660512,10407.15859,12212.12455,13562.39314
IMAGE 3.4,SSP1,CAN,GDP|MER,billion US$2010/yr,1462.266648,1679.514402,2144.111635,2779.502437,3542.060683,4265.954373,4991.479763,5644.186757,6117.693543,6331.258061
IMAGE 3.4,SSP1,CEU,GDP|MER,billion US$2010/yr,1221.368646,1546.193462,2166.211048,2778.880995,3208.632051,3506.795781,3754.586141,3909.80267,3979.407513,3996.879896
IMAGE 3.4,SSP1,CHN,GDP|MER,billion US$2010/yr,5608.679259,10702.94068,16800.02915,23215.51644,29549.04204,34969.44649,39606.4993,42189.00901,43137.9434,42912.37652
IMAGE 3.4,SSP1,EAF,GDP|MER,billion US$2010/yr,201.6726001,312.553272,508.5913352,993.9042066,1889.78007,3341.203051,5562.646016,8628.78504,12461.57652,17014.27714
IMAGE 3.4,SSP1,INDIA,GDP|MER,billion US$2010/yr,1752.574286,2862.49321,5632.057004,10015.73645,15915.75354,22683.63508,29954.8072,36675.18885,41926.43032,45482.21812
IMAGE 3.4,SSP1,INDO,GDP|MER,billion US$2010/yr,847.8488261,1323.904384,2155.768383,3373.376252,4769.986042,6132.578246,7405.134449,8484.816503,9301.132264,9800.020696
IMAGE 3.4,SSP1,JAP,GDP|MER,billion US$2010/yr,5361.714165,5545.003041,6177.040714,7075.96397,8225.246435,9175.867917,9872.166695,10239.58079,10283.59462,9997.145245
IMAGE 3.4,SSP1,KOR,GDP|MER,billion US$2010/yr,1295.042218,1662.045342,2106.521586,2508.734226,2885.315977,3145.140825,3344.268168,3472.033792,3523.428497,3508.913779
IMAGE 3.4,SSP1,ME,GDP|MER,billion US$2010/yr,2678.513105,3248.705653,4673.284771,6622.515031,8781.037256,11025.22102,13431.48043,15687.76957,17722.08977,19535.49338
IMAGE 3.4,SSP1,MEX,GDP|MER,billion US$2010/yr,1046.260015,1188.210665,1613.534084,2257.349249,3148.746519,4084.259535,4976.106548,5714.28676,6184.840311,6321.639555
IMAGE 3.4,SSP1,NAF,GDP|MER,billion US$2010/yr,770.1259106,924.8860505,1444.30686,2519.072763,4389.503938,6994.411043,10225.39729,13780.40745,17563.78265,21514.63705
IMAGE 3.4,SSP1,OCE,GDP|MER,billion US$2010/yr,1049.782282,1327.973113,1757.888114,2402.901854,3234.632924,4084.504345,4975.040902,5820.318525,6499.575831,6931.606616
IMAGE 3.4,SSP1,RCAM,GDP|MER,billion US$2010/yr,424.8449796,498.1464547,740.3434899,1127.349213,1698.739229,2422.770278,3300.092604,4257.718326,5203.635236,6080.648502
IMAGE 3.4,SSP1,RSAF,GDP|MER,billion US$2010/yr,185.4664677,253.033519,413.6127383,786.6423833,1481.40618,2628.467627,4410.896613,6934.656224,10230.237,14287.24281
IMAGE 3.4,SSP1,RSAM,GDP|MER,billion US$2010/yr,1300.368232,1241.725584,1756.362756,2531.396371,3665.599171,4977.331708,6421.317323,7839.614448,9076.29206,10027.00105
IMAGE 3.4,SSP1,RSAS,GDP|MER,billion US$2010/yr,498.5776079,779.4003253,1320.735139,2508.644499,4515.979045,7361.855047,11190.7218,15805.4891,20827.63886,26085.67078
IMAGE 3.4,SSP1,RUS,GDP|MER,billion US$2010/yr,1082.620195,1234.261632,1475.77443,1882.64844,2355.470643,2904.01906,3546.992342,4205.575896,4883.757587,5607.035373
IMAGE 3.4,SSP1,SAF,GDP|MER,billion US$2010/yr,402.8189198,433.8221046,519.454076,733.862657,1123.806661,1658.098464,2319.213205,3043.811417,3776.273475,4465.429546
IMAGE 3.4,SSP1,SEAS,GDP|MER,billion US$2010/yr,1307.209634,1939.712558,3108.060337,4937.969275,6783.609229,8513.645436,10200.90626,11683.05685,12903.73094,13886.04154
IMAGE 3.4,SSP1,STAN,GDP|MER,billion US$2010/yr,211.2527683,334.2327476,513.6611496,777.9565939,1081.064513,1414.205133,1802.61644,2213.286675,2652.000455,3125.996863
IMAGE 3.4,SSP1,TUR,GDP|MER,billion US$2010/yr,679.488616,1123.30707,1816.314753,2595.393834,3272.121062,3823.035611,4243.92364,4506.369401,4653.337697,4727.660405
IMAGE 3.4,SSP1,UKR,GDP|MER,billion US$2010/yr,188.5147432,185.1310475,201.677031,311.2658704,443.1707725,575.3752143,711.5680741,840.9073811,967.2161884,1096.899449
IMAGE 3.4,SSP1,USA,GDP|MER,billion US$2010/yr,15159.61022,17809.75631,22335.20654,26736.9222,31052.17876,34938.06421,38771.85266,42403.8441,45655.59272,48116.34851
IMAGE 3.4,SSP1,WAF,GDP|MER,billion US$2010/yr,595.4643216,815.7137041,1231.799126,2239.963269,4081.112445,7143.365518,11922.69424,18709.16365,27669.00787,38986.4662
IMAGE 3.4,SSP1,WEU,GDP|MER,billion US$2010/yr,16383.87339,17387.87354,21302.30545,25436.90069,30719.73491,35964.28563,40980.11019,45064.34757,47576.15688,48233.87086
IMAGE 3.4,SSP1,World,GDP|MER,billion US$2010/yr,63287.76502,77974.75796,105934.6739,142006.6141,186137.2033,233936.4147,286243.1177,338161.2254,386988.5259,431635.1979
IMAGE 3.4,SSP1,BRA,GDP|PPP,billion US$2010/yr,2819.844121,2895.928226,3629.13906,4914.756791,6948.411114,9336.414587,11833.87608,14123.13113,15986.74899,17273.76545
IMAGE 3.4,SSP1,CAN,GDP|PPP,billion US$2010/yr,1459.996858,1676.906737,2133.439629,2715.312247,3390.207169,4024.026194,4653.929455,5220.931691,5633.403116,5812.996545
IMAGE 3.4,SSP1,CEU,GDP|PPP,billion US$2010/yr,2155.411744,2728.645964,3726.809491,4619.876186,5253.215714,5693.968584,6051.647986,6272.860094,6382.112033,6422.842573
IMAGE 3.4,SSP1,CHN,GDP|PPP,billion US$2010/yr,12895.55616,24608.35539,37364.48993,49280.64816,60414.15778,69248.79103,76264.32481,79780.73293,80613.24281,79693.54168
IMAGE 3.4,SSP1,EAF,GDP|PPP,billion US$2010/yr,529.3997908,820.4669272,1290.096153,2318.21964,4025.13177,6519.947234,9988.724162,14365.02844,19424.40913,25012.5139
IMAGE 3.4,SSP1,INDIA,GDP|PPP,billion US$2010/yr,5268.996141,8605.894674,16079.49949,26153.69813,38527.9631,51642.30657,64816.55886,76197.47097,84496.79752,89574.17573
IMAGE 3.4,SSP1,INDO,GDP|PPP,billion US$2010/yr,2086.854781,3258.596785,5131.032749,7556.779434,10171.09343,12590.19638,14746.56699,16491.21313,17761.2814,18485.05643
IMAGE 3.4,SSP1,JAP,GDP|PPP,billion US$2010/yr,4561.548375,4717.482252,5266.911556,5970.279939,6806.247181,7482.195754,7966.212686,8193.226367,8195.803701,7969.573228
